Diameter Average-Path-Length nodes initial rewiring
15 -1 0 1 0.231
10 -1 0 1 0.232
11 -1 0 1 0.233
10 -1 0 1 0.234
12 -1 0 1 0.23500000000000001
13 -1 0 1 0.23600000000000002
11 -1 0 1 0.23700000000000002
13 -1 0 1 0.23800000000000002
13 -1 0 1 0.23900000000000002
12 -1 0 1 0.24
12 -1 0 1 0.241
12 -1 0 1 0.242
11 -1 0 1 0.243
11 -1 0 1 0.244
11 -1 0 1 0.245
11 -1 0 1 0.246
12 -1 0 1 0.247
13 -1 0 1 0.248
11 -1 0 1 0.249
12 -1 0 1 0.25
12 -1 0 1 0.251
11 -1 0 1 0.252
11 -1 0 1 0.253
10 -1 0 1 0.254
11 -1 0 1 0.255
9 -1 0 1 0.256
11 -1 0 1 0.257
12 -1 0 1 0.258
12 -1 0 1 0.259
12 -1 0 1 0.26
13 -1 0 1 0.261
11 -1 0 1 0.262
11 -1 0 1 0.263
11 -1 0 1 0.264
9 -1 0 1 0.265
10 -1 0 1 0.266
10 -1 0 1 0.267
13 -1 0 1 0.268
11 -1 0 1 0.269
13 -1 0 1 0.27
11 -1 0 1 0.271
11 -1 0 1 0.272
10 -1 0 1 0.273
12 -1 0 1 0.274
12 -1 0 1 0.275
10 -1 0 1 0.276
12 -1 0 1 0.277
14 -1 0 1 0.278
11 -1 0 1 0.279
13 -1 0 1 0.28
12 -1 0 1 0.281
10 -1 0 1 0.28200000000000003
12 -1 0 1 0.28300000000000003
11 -1 0 1 0.28400000000000003
12 -1 0 1 0.28500000000000003
9 -1 0 1 0.28600000000000003
12 -1 0 1 0.28700000000000003
11 -1 0 1 0.28800000000000003
13 -1 0 1 0.289
12 -1 0 1 0.29
10 -1 0 1 0.291
10 -1 0 1 0.292
10 -1 0 1 0.293
9 -1 0 1 0.294
11 -1 0 1 0.295
12 -1 0 1 0.296
11 -1 0 1 0.297
14 -1 0 1 0.298
10 -1 0 1 0.299
10 -1 0 1 0.3
11 -1 0 1 0.301
10 -1 0 1 0.302
12 -1 0 1 0.303
9 -1 0 1 0.304
13 -1 0 1 0.305
10 -1 0 1 0.306
12 -1 0 1 0.307
10 -1 0 1 0.308
11 -1 0 1 0.309
12 -1 0 1 0.31
11 -1 0 1 0.311
11 -1 0 1 0.312
12 -1 0 1 0.313
11 -1 0 1 0.314
12 -1 0 1 0.315
12 -1 0 1 0.316
11 -1 0 1 0.317
13 -1 0 1 0.318
12 -1 0 1 0.319
11 -1 0 1 0.32
10 -1 0 1 0.321
14 -1 0 1 0.322
12 -1 0 1 0.323
10 -1 0 1 0.324
13 -1 0 1 0.325
12 -1 0 1 0.326
10 -1 0 1 0.327
12 -1 0 1 0.328
13 -1 0 1 0.329
9 -1 0 1 0.33
11 -1 0 1 0.331
11 -1 0 1 0.332
10 -1 0 1 0.333
12 -1 0 1 0.334
12 -1 0 1 0.335
11 -1 0 1 0.336
13 -1 0 1 0.337
12 -1 0 1 0.338
10 -1 0 1 0.339
12 -1 0 1 0.34
13 -1 0 1 0.341
10 -1 0 1 0.342
12 -1 0 1 0.343
9 -1 0 1 0.34400000000000003
11 -1 0 1 0.34500000000000003
12 -1 0 1 0.34600000000000003
11 -1 0 1 0.34700000000000003
11 -1 0 1 0.34800000000000003
10 -1 0 1 0.34900000000000003
10 -1 0 1 0.35000000000000003
10 -1 0 1 0.35100000000000003
10 -1 0 1 0.352
11 -1 0 1 0.353
13 -1 0 1 0.354
11 -1 0 1 0.355
11 -1 0 1 0.356
14 -1 0 1 0.357
11 -1 0 1 0.358
14 -1 0 1 0.359
11 -1 0 1 0.36
12 -1 0 1 0.361
12 -1 0 1 0.362
11 -1 0 1 0.363
10 -1 0 1 0.364
10 -1 0 1 0.365
12 -1 0 1 0.366
10 -1 0 1 0.367
10 -1 0 1 0.368
14 -1 0 1 0.369
11 -1 0 1 0.37
12 -1 0 1 0.371
12 -1 0 1 0.372
9 -1 0 1 0.373
10 -1 0 1 0.374
11 -1 0 1 0.375
13 -1 0 1 0.376
10 -1 0 1 0.377
11 -1 0 1 0.378
13 -1 0 1 0.379
11 -1 0 1 0.38
11 -1 0 1 0.381
9 -1 0 1 0.382
11 -1 0 1 0.383
11 -1 0 1 0.384
10 -1 0 1 0.385
10 -1 0 1 0.386
13 -1 0 1 0.387
11 -1 0 1 0.388
11 -1 0 1 0.389
12 -1 0 1 0.39
13 -1 0 1 0.391
9 -1 0 1 0.392
9 -1 0 1 0.393
10 -1 0 1 0.394
11 -1 0 1 0.395
11 -1 0 1 0.396
16 -1 0 1 0.397
11 -1 0 1 0.398
10 -1 0 1 0.399
11 -1 0 1 0.4
12 -1 0 1 0.401
10 -1 0 1 0.402
11 -1 0 1 0.403
11 -1 0 1 0.404
11 -1 0 1 0.405
11 -1 0 1 0.406
11 -1 0 1 0.40700000000000003
11 -1 0 1 0.40800000000000003
10 -1 0 1 0.40900000000000003
11 -1 0 1 0.41000000000000003
12 -1 0 1 0.41100000000000003
9 -1 0 1 0.41200000000000003
11 -1 0 1 0.41300000000000003
11 -1 0 1 0.41400000000000003
12 -1 0 1 0.41500000000000004
11 -1 0 1 0.41600000000000004
13 -1 0 1 0.417
10 -1 0 1 0.418
10 -1 0 1 0.419
10 -1 0 1 0.42
11 -1 0 1 0.421
10 -1 0 1 0.422
10 -1 0 1 0.423
11 -1 0 1 0.424
10 -1 0 1 0.425
10 -1 0 1 0.426
11 -1 0 1 0.427
12 -1 0 1 0.428
10 -1 0 1 0.429
12 -1 0 1 0.43
11 -1 0 1 0.431
12 -1 0 1 0.432
9 -1 0 1 0.433
9 -1 0 1 0.434
12 -1 0 1 0.435
13 -1 0 1 0.436
10 -1 0 1 0.437
10 -1 0 1 0.438
11 -1 0 1 0.439
11 -1 0 1 0.44
12 -1 0 1 0.441
10 -1 0 1 0.442
11 -1 0 1 0.443
10 -1 0 1 0.444
11 -1 0 1 0.445
10 -1 0 1 0.446
11 -1 0 1 0.447
10 -1 0 1 0.448
10 -1 0 1 0.449
11 -1 0 1 0.45
11 -1 0 1 0.451
11 -1 0 1 0.452
10 -1 0 1 0.453
11 -1 0 1 0.454
10 -1 0 1 0.455
10 -1 0 1 0.456
12 -1 0 1 0.457
10 -1 0 1 0.458
13 -1 0 1 0.459
11 -1 0 1 0.46
14 -1 0 1 0.461
10 -1 0 1 0.462
10 -1 0 1 0.463
10 -1 0 1 0.464
10 -1 0 1 0.465
10 -1 0 1 0.466
11 -1 0 1 0.467
11 -1 0 1 0.468
14 -1 0 1 0.46900000000000003
11 -1 0 1 0.47000000000000003
10 -1 0 1 0.47100000000000003
11 -1 0 1 0.47200000000000003
11 -1 0 1 0.47300000000000003
12 -1 0 1 0.47400000000000003
9 -1 0 1 0.47500000000000003
11 -1 0 1 0.47600000000000003
10 -1 0 1 0.47700000000000004
10 -1 0 1 0.47800000000000004
10 -1 0 1 0.47900000000000004
13 -1 0 1 0.48
10 -1 0 1 0.481
11 -1 0 1 0.482
11 -1 0 1 0.483
11 -1 0 1 0.484
12 -1 0 1 0.485
9 -1 0 1 0.486
11 -1 0 1 0.487
9 -1 0 1 0.488
9 -1 0 1 0.489
13 -1 0 1 0.49
10 -1 0 1 0.491
9 -1 0 1 0.492
9 -1 0 1 0.493
11 -1 0 1 0.494
12 -1 0 1 0.495
10 -1 0 1 0.496
14 -1 0 1 0.497
12 -1 0 1 0.498
12 -1 0 1 0.499
11 -1 0 1 0.5
10 -1 0 1 0.501
10 -1 0 1 0.502
13 -1 0 1 0.503
10 -1 0 1 0.504
11 -1 0 1 0.505
10 -1 0 1 0.506
10 -1 0 1 0.507
12 -1 0 1 0.508
9 -1 0 1 0.509
11 -1 0 1 0.51
10 -1 0 1 0.511
13 -1 0 1 0.512
10 -1 0 1 0.513
12 -1 0 1 0.514
11 -1 0 1 0.515
9 -1 0 1 0.516
12 -1 0 1 0.517
10 -1 0 1 0.518
11 -1 0 1 0.519
13 -1 0 1 0.52
10 -1 0 1 0.521
12 -1 0 1 0.522
10 -1 0 1 0.523
12 -1 0 1 0.524
11 -1 0 1 0.525
10 -1 0 1 0.526
11 -1 0 1 0.527
9 -1 0 1 0.528
11 -1 0 1 0.529
12 -1 0 1 0.53
11 -1 0 1 0.531
13 -1 0 1 0.532
13 -1 0 1 0.533
12 -1 0 1 0.534
13 -1 0 1 0.535
9 -1 0 1 0.536
10 -1 0 1 0.537
9 -1 0 1 0.538
11 -1 0 1 0.539
14 -1 0 1 0.54
11 -1 0 1 0.541
10 -1 0 1 0.542
11 -1 0 1 0.543
10 -1 0 1 0.544
10 -1 0 1 0.545
11 -1 0 1 0.546
11 -1 0 1 0.547
10 -1 0 1 0.548
12 -1 0 1 0.549
9 -1 0 1 0.55
10 -1 0 1 0.551
10 -1 0 1 0.552
12 -1 0 1 0.553
12 -1 0 1 0.554
