Number-Nodes Number-Links Density Average-Degree Average-Path-Length Diameter Average-Clustering Average-Betweenness Average-Eigenvector Average-Closeness Average-PageRank p
300 0 0 0 -1 0 0 0 1 0 0.0033333333333333 0
300 460 0.010256410256410256 3.066666666666667 -1 11 0.007661375661375662 543.2133333333335 0.1944083495323522 0.20348529998961132 0.00333333333333333 0.01
300 942 0.02100334448160535 6.28 3.311973244147157 5 0.015464646464646459 345.63999999999993 0.4330652351499009 0.3035753832696894 0.003333333333333334 0.02
300 1355 0.030211817168338907 9.033333333333333 2.830211817168339 4 0.03271574838989698 273.61666666666673 0.4087673082425397 0.3547486779756379 0.0033333333333333314 0.03
300 1756 0.03915273132664437 11.706666666666667 2.5836789297658864 4 0.04074896701738807 236.76 0.4270913821469507 0.3878842098462808 0.003333333333333331 0.04
300 2198 0.04900780379041249 14.653333333333334 2.4153177257525082 3 0.04714870117543424 211.58999999999997 0.5235926422655139 0.41490612016611145 0.0033333333333333335 0.05
300 2701 0.06022296544035675 18.006666666666668 2.2568338907469343 3 0.05859529834554454 187.89666666666665 0.5741127506802457 0.4440577669981334 0.0033333333333333327 0.06
300 3170 0.07068004459308808 21.133333333333333 2.1390858416945373 3 0.06805177907388354 170.29333333333344 0.587734275015633 0.46824064255017317 0.003333333333333335 0.07
300 3559 0.07935340022296544 23.726666666666667 2.060423634336678 3 0.083408954592451 158.53333333333327 0.6171325877206293 0.4859740186283053 0.003333333333333335 0.08
300 4026 0.08976588628762541 26.84 1.9913935340022297 3 0.0893552338661431 148.21333333333337 0.6647944495431107 0.502559735481305 0.003333333333333331 0.09
300 4487 0.10004459308807134 29.913333333333334 1.9411148272017837 3 0.10033490618370447 140.69666666666663 0.6871201103181418 0.5153789102349463 0.0033333333333333327 0.1
300 5035 0.11226309921962097 33.56666666666667 1.9080936454849498 3 0.11284732263220647 135.7600000000001 0.6584851413688668 0.524223231568061 0.0033333333333333335 0.11
300 5281 0.11774804905239687 35.20666666666666 1.8968115942028985 3 0.1172353901840484 134.07333333333335 0.6083116591431453 0.5273423237081803 0.003333333333333333 0.12
300 5876 0.1310144927536232 39.17333333333333 1.8749163879598663 3 0.130284880813359 130.79999999999987 0.6914577703436844 0.5334631281726814 0.0033333333333333322 0.13
300 6309 0.14066889632107024 42.06 1.8615830546265328 3 0.14098062952556364 128.80666666666673 0.6468968224742503 0.5372665257999655 0.003333333333333335 0.14
300 6711 0.14963210702341137 44.74 1.8514604236343366 3 0.14813295377880312 127.29333333333334 0.6737708540061517 0.540182650872589 0.003333333333333334 0.15
300 7098 0.1582608695652174 47.32 1.8422296544035675 2 0.15830902709574984 125.91333333333328 0.6977660321157236 0.5429035758894957 0.003333333333333333 0.16
300 7590 0.16923076923076924 50.6 1.8310144927536232 2 0.1698548070397188 124.23666666666664 0.7572850374812718 0.5462210926582536 0.0033333333333333335 0.17
300 8198 0.18278706800445932 54.653333333333336 1.817257525083612 2 0.18476680598402753 122.18000000000016 0.745516347197526 0.5503629477873391 0.003333333333333335 0.18
300 8330 0.18573021181716834 55.53333333333333 1.8142697881828316 2 0.18495676116332158 121.7333333333333 0.7500286417026484 0.5512608426865048 0.003333333333333335 0.19
300 9040 0.2015607580824972 60.266666666666666 1.7984392419175028 2 0.20192373490244875 119.36666666666665 0.7016100399273151 0.5561212993820313 0.003333333333333331 0.2
300 9437 0.21041248606465998 62.913333333333334 1.78958751393534 2 0.21080935741844042 118.04333333333338 0.7389257020984278 0.5588913450136798 0.0033333333333333327 0.21
300 9762 0.2176588628762542 65.08 1.7823411371237459 2 0.2173594547448828 116.96000000000008 0.7703610328914666 0.5611505298005448 0.0033333333333333327 0.22
300 10358 0.23094760312151616 69.05333333333333 1.769052396878484 2 0.23105177351150025 114.97333333333331 0.7346742539443115 0.5653907473994055 0.0033333333333333335 0.23
300 10599 0.23632107023411372 70.66 1.7636789297658864 2 0.23485089207709392 114.16999999999997 0.7816585101489422 0.567104721262585 0.0033333333333333335 0.24
300 11229 0.2503678929765886 74.86 1.7496321070234113 2 0.2497701762547861 112.07000000000002 0.7943183376467634 0.5716575536541616 0.003333333333333331 0.25
300 11563 0.2578149386845039 77.08666666666667 1.742185061315496 2 0.2571239191667385 110.95666666666665 0.7625408263546759 0.5741100126739186 0.0033333333333333327 0.26
300 12030 0.2682274247491639 80.2 1.7317725752508362 2 0.26865981865908045 109.4 0.7768048032159107 0.5775813696756587 0.0033333333333333335 0.27
300 12579 0.28046822742474914 83.86 1.7195317725752508 2 0.2805430683192381 107.56999999999996 0.7618757104722151 0.5816793278465494 0.0033333333333333335 0.28
300 13152 0.29324414715719066 87.68 1.7067558528428093 2 0.29479734224072474 105.66000000000004 0.7774368643075283 0.5860801719351358 0.003333333333333335 0.29
300 13521 0.30147157190635454 90.14 1.6985284280936455 2 0.30118918309444315 104.43000000000008 0.7888573248296524 0.5889054205393947 0.003333333333333334 0.3
300 13726 0.3060423634336678 91.50666666666666 1.6939576365663322 2 0.30505551191597735 103.74666666666667 0.803982247713881 0.5904646076481889 0.0033333333333333314 0.31
300 14601 0.3255518394648829 97.34 1.6744481605351171 2 0.3263378870348278 100.82999999999996 0.7526534842894951 0.5973955564352668 0.003333333333333331 0.32
300 14794 0.3298550724637681 98.62666666666667 1.670144927536232 2 0.32994949930894846 100.18666666666662 0.8078532593239766 0.5989056296576631 0.003333333333333335 0.33
300 15182 0.3385061315496098 101.21333333333334 1.6614938684503902 2 0.3377795015699821 98.8933333333333 0.814458942213825 0.6020141776928852 0.003333333333333333 0.34
