Diameter Average-Path-Length probability nodes
2 1.527094127806563 0.47 193
2 1.5314887025265744 0.47 194
2 1.5304255881575468 0.47 195
2 1.528414442700157 0.47 196
2 1.5341862633378225 0.47 197
2 1.5273034917704968 0.47 198
2 1.5391096898634586 0.47 199
2 1.5294472361809046 0.47 200
2 1.5335323383084578 0.47 201
2 1.527215408107975 0.47 202
2 1.5267034092571818 0.47 203
2 1.5338066260987153 0.47 204
2 1.5287422285987566 0.47 205
2 1.5318020364669667 0.47 206
2 1.5338867782937011 0.47 207
2 1.5341415830546266 0.47 208
2 1.5327107103422892 0.47 209
2 1.5316473000683526 0.47 210
2 1.5235387045813586 0.47 211
2 1.533175355450237 0.47 212
2 1.5277703959606697 0.47 213
2 1.52718178228248 0.47 214
2 1.5329710932405998 0.47 215
2 1.527820844099914 0.47 216
2 1.5307646356033453 0.47 217
2 1.5277131864879718 0.47 218
2 1.533995224330778 0.47 219
2 1.5289331672893316 0.47 220
2 1.527807486631016 0.47 221
2 1.5304716481187068 0.47 222
2 1.530157960651234 0.47 223
2 1.5287876361306854 0.47 224
2 1.5280952380952382 0.47 225
2 1.528259587020649 0.47 226
2 1.53015476979455 0.47 227
2 1.5241904320272046 0.47 228
2 1.5383436757833449 0.47 229
2 1.5306246440098727 0.47 230
2 1.5270845096932053 0.47 231
2 1.5286236751753992 0.47 232
2 1.5278599970401066 0.47 233
2 1.5265397454238656 0.47 234
2 1.5284597199490817 0.47 235
2 1.5328885683375406 0.47 236
2 1.5316455696202531 0.47 237
2 1.5292344786015672 0.47 238
2 1.5309236665377448 0.47 239
2 1.5307531380753139 0.47 240
2 1.5298409405255877 0.47 241
2 1.529748636878022 0.47 242
2 1.532258613066694 0.47 243
2 1.5354516629562167 0.47 244
2 1.5250920040147207 0.47 245
2 1.5266301642608262 0.47 246
2 1.5264803660182351 0.47 247
2 1.5284053806974012 0.47 248
2 1.5271408213499158 0.47 249
2 1.5346184738955824 0.47 250
2 1.5309322709163347 0.47 251
2 1.5309555429077342 0.47 252
2 1.522993914298262 0.47 253
2 1.5263452740344217 0.47 254
2 1.5352786784004941 0.47 255
2 1.5370404411764707 0.47 256
2 1.529365272373541 0.47 257
2 1.5293638584743463 0.47 258
2 1.5305139026069259 0.47 259
2 1.5258390258390258 0.47 260
2 1.5337754199823166 0.47 261
2 1.5343218975753854 0.47 262
2 1.5281397846341394 0.47 263
2 1.5330683258439912 0.47 264
2 1.5305317324185248 0.47 265
2 1.5367286139877996 0.47 266
2 1.5278646053335587 0.47 267
2 1.5318911062664207 0.47 268
2 1.5291294457082616 0.47 269
2 1.531791270824728 0.47 270
2 1.5332786661199946 0.47 271
2 1.5289776427176036 0.47 272
2 1.5317011419952598 0.47 273
2 1.5306809978342826 0.47 274
2 1.5338022561380225 0.47 275
2 1.5290118577075098 0.47 276
2 1.5313660859101135 0.47 277
2 1.5309196685972521 0.47 278
2 1.5270106495448803 0.47 279
2 1.5274705581157193 0.47 280
2 1.528037620742247 0.47 281
2 1.525529390979531 0.47 282
2 1.5281808385334437 0.47 283
2 1.5274722540188126 0.47 284
2 1.5301704966641958 0.47 285
2 1.5288185498711815 0.47 286
2 1.528910114275968 0.47 287
2 1.5262291908633372 0.47 288
2 1.5349625144175316 0.47 289
2 1.531129936761723 0.47 290
2 1.5283327408460718 0.47 291
2 1.5325518994492304 0.47 292
2 1.5299452989854598 0.47 293
2 1.5350700006965243 0.47 294
2 1.5312579268995734 0.47 295
2 1.5294090700870362 0.47 296
2 1.5242742742742743 0.47 297
2 1.5311956251553567 0.47 298
2 1.5294606181679424 0.47 299
2 1.5245707915273132 0.47 300
2 1.5289258028792914 0.47 301
2 1.5320234978328309 0.47 302
2 1.5317465521386575 0.47 303
2 1.5317439638700712 0.47 304
2 1.5281708369283866 0.47 305
2 1.5289831779706418 0.47 306
2 1.5277724553447871 0.47 307
2 1.5313676551461568 0.47 308
2 1.529063169839869 0.47 309
2 1.5324564150746425 0.47 310
2 1.5289700238564465 0.47 311
2 1.5311443647456509 0.47 312
2 1.529573195707381 0.47 313
2 1.531796259742374 0.47 314
2 1.530017187342028 0.47 315
2 1.5288527225236086 0.47 316
2 1.5265942578764524 0.47 317
2 1.5274884431482254 0.47 318
2 1.533171664596518 0.47 319
2 1.5331700626959248 0.47 320
2 1.5297118380062305 0.47 321
2 1.531007526944138 0.47 322
2 1.5315847162663692 0.47 323
2 1.5296602071627872 0.47 324
2 1.5309401709401709 0.47 325
2 1.5330438886267108 0.47 326
2 1.5347366841147445 0.47 327
2 1.5301894532706795 0.47 328
2 1.5363629624138186 0.47 329
2 1.5304780326056922 0.47 330
2 1.5315389544996796 0.47 331
2 1.5308302697193608 0.47 332
2 1.5284199862513115 0.47 333
2 1.5309021596446746 0.47 334
2 1.529555813745643 0.47 335
2 1.53182302771855 0.47 336
2 1.5323936696340257 0.47 337
2 1.5285937527434903 0.47 338
2 1.5312352725558989 0.47 339
2 1.5276418532014575 0.47 340
2 1.5262032085561497 0.47 341
2 1.5279792834971104 0.47 342
2 1.5311407771128502 0.47 343
2 1.5315106108888739 0.47 344
2 1.5264745534209638 0.47 345
2 1.526078579207506 0.47 346
2 1.5306591594342922 0.47 347
2 1.530408426910464 0.47 348
2 1.5296742746105458 0.47 349
2 1.5290708145722471 0.47 350
2 1.5281725681725682 0.47 351
2 1.5313390313390314 0.47 352
2 1.5310166108678858 0.47 353
2 1.5293449208559402 0.47 354
2 1.528813559322034 0.47 355
2 1.5294192119006171 0.47 356
2 1.5296950240770466 0.47 357
2 1.5300220646917986 0.47 358
2 1.5298548108495043 0.47 359
2 1.5303466419065306 0.47 360
2 1.5295013850415513 0.47 361
2 1.5288869163312468 0.47 362
2 1.5290321598709344 0.47 363
2 1.5313474404383496 0.47 364
2 1.5289778714436248 0.47 365
2 1.526027397260274 0.47 366
2 1.5292803859382678 0.47 367
2 1.5310982111124274 0.47 368
2 1.5302521503475903 0.47 369
2 1.5319709953856295 0.47 370
2 1.5302251038100094 0.47 371
2 1.5266208735472278 0.47 372
2 1.530052754475482 0.47 373
2 1.5337557884474775 0.47 374
2 1.528270944741533 0.47 375
2 1.5329645390070923 0.47 376
2 1.5284299339691856 0.47 377
2 1.5280900453314246 0.47 378
2 1.5317390515279696 0.47 379
2 1.5269268157200389 0.47 380
2 1.531399364553115 0.47 381
2 1.5311181652031716 0.47 382
2 1.5324320260276407 0.47 383
2 1.5257696910356833 0.47 384
2 1.5292748917748917 0.47 385
2 1.532750151403001 0.47 386
2 1.532085525699214 0.47 387
2 1.529902235008924 0.47 388
2 1.5316301380754247 0.47 389
2 1.5280073825060971 0.47 390
2 1.5299757361138435 0.47 391
2 1.530755780573099 0.47 392
2 1.5264189645323778 0.47 393
2 1.5295720799266348 0.47 394
2 1.5316712716057315 0.47 395
2 1.5325278097429995 0.47 396
2 1.5299722667480853 0.47 397
2 1.5317519587863753 0.47 398
2 1.531592801098223 0.47 399
2 1.5324185463659148 0.47 400
2 1.5306234413965087 0.47 401
2 1.530055458369003 0.47 402
2 1.5305482512993347 0.47 403
2 1.5272338648256885 0.47 404
2 1.5313042415352647 0.47 405
2 1.5309858298364045 0.47 406
2 1.529599012357633 0.47 407
2 1.5283037047742931 0.47 408
2 1.5313773431132844 0.47 409
2 1.528248553879182 0.47 410
2 1.5310664055545664 0.47 411
2 1.5343585382562068 0.47 412
2 1.5295846164695925 0.47 413
2 1.5298101554549601 0.47 414
2 1.5288982015016588 0.47 415
2 1.530803985171455 0.47 416
2 1.5322242206235013 0.47 417
2 1.5299415969616652 0.47 418
2 1.5300042251430268 0.47 419
2 1.5316854187975906 0.47 420
2 1.530245447347585 0.47 421
2 1.5311996938005876 0.47 422
2 1.529225908372828 0.47 423
2 1.5306213479637807 0.47 424
2 1.528157602663707 0.47 425
2 1.5307373653686827 0.47 426
2 1.5259535354201712 0.47 427
2 1.5327212239269845 0.47 428
2 1.5311199703723068 0.47 429
2 1.5313275871415406 0.47 430
2 1.5291426104786057 0.47 431
2 1.5307424593967518 0.47 432
2 1.5299054828500556 0.47 433
2 1.5295069230851097 0.47 434
2 1.5308332009110652 0.47 435
2 1.530549404196984 0.47 436
2 1.53019965150211 0.47 437
2 1.5335987377616167 0.47 438
2 1.530876525103754 0.47 439
2 1.5306274591012632 0.47 440
2 1.531756338899196 0.47 441
2 1.5299966140302275 0.47 442
2 1.530004187818555 0.47 443
2 1.5287657861021293 0.47 444
2 1.5290110335054155 0.47 445
2 1.5316471003174283 0.47 446
2 1.5307831984029052 0.47 447
2 1.5284236177692554 0.47 448
2 1.5294404231625836 0.47 449
2 1.5313239297203662 0.47 450
2 1.5310174919931017 0.47 451
2 1.5294821733414439 0.47 452
2 1.5313250893746704 0.47 453
2 1.5304431543017183 0.47 454
2 1.5318874957641477 0.47 455
2 1.5309620204357046 0.47 456
2 1.5297516219432608 0.47 457
2 1.5281453947808472 0.47 458
2 1.5300111310899907 0.47 459
2 1.5320450885668278 0.47 460
2 1.532717155522022 0.47 461
2 1.531941666431905 0.47 462
2 1.5319719876955298 0.47 463
2 1.5299769121918523 0.47 464
2 1.5302836484983315 0.47 465
