NoInfectados Infectados Inmunes Nodos Pinfeccion Precuperacion Pinmunidad Iteraciones
197 103 0 35 0.3 0.3 0 26
192 108 0 40 0.3 0.3 0 26
172 128 0 45 0.3 0.3 0 26
197 103 0 50 0.3 0.3 0 26
173 127 0 55 0.3 0.3 0 26
183 117 0 60 0.3 0.3 0 26
175 125 0 65 0.3 0.3 0 26
186 114 0 70 0.3 0.3 0 26
190 110 0 75 0.3 0.3 0 26
169 131 0 80 0.3 0.3 0 26
184 116 0 85 0.3 0.3 0 26
183 117 0 90 0.3 0.3 0 26
196 104 0 95 0.3 0.3 0 26
162 138 0 100 0.3 0.3 0 26
203 97 0 105 0.3 0.3 0 26
187 113 0 110 0.3 0.3 0 26
184 116 0 115 0.3 0.3 0 26
202 98 0 120 0.3 0.3 0 26
183 117 0 125 0.3 0.3 0 26
189 111 0 130 0.3 0.3 0 26
203 97 0 135 0.3 0.3 0 26
198 102 0 140 0.3 0.3 0 26
185 115 0 145 0.3 0.3 0 26
300 0 0 0 0.3 0.3 0 31
185 115 0 5 0.3 0.3 0 31
193 107 0 10 0.3 0.3 0 31
172 128 0 15 0.3 0.3 0 31
164 136 0 20 0.3 0.3 0 31
193 107 0 25 0.3 0.3 0 31
179 121 0 30 0.3 0.3 0 31
190 110 0 35 0.3 0.3 0 31
183 117 0 40 0.3 0.3 0 31
190 110 0 45 0.3 0.3 0 31
208 92 0 50 0.3 0.3 0 31
183 117 0 55 0.3 0.3 0 31
194 106 0 60 0.3 0.3 0 31
209 91 0 65 0.3 0.3 0 31
181 119 0 70 0.3 0.3 0 31
205 95 0 75 0.3 0.3 0 31
182 118 0 80 0.3 0.3 0 31
181 119 0 85 0.3 0.3 0 31
192 108 0 90 0.3 0.3 0 31
185 115 0 95 0.3 0.3 0 31
185 115 0 100 0.3 0.3 0 31
182 118 0 105 0.3 0.3 0 31
187 113 0 110 0.3 0.3 0 31
186 114 0 115 0.3 0.3 0 31
178 122 0 120 0.3 0.3 0 31
198 102 0 125 0.3 0.3 0 31
